METERID,LON,LAT
3043096,-73.958029433,40.6471524887
3043203,-73.9483797922,40.6404435308
3013626,-73.9884907613,40.6906248941
3013618,-73.9917799605,40.6926822891
3013529,-73.992460042,40.6941002778
3063094,-73.9531702888,40.5992501186
3063158,-73.9465113402,40.5996949844
3071375,-73.9912303341,40.6008415745
3091518,-74.0279608442,40.6240316958
3091489,-74.0250952878,40.6226548997
3043017,-73.9598373044,40.6550555652
3043189,-73.9476628967,40.6337364458
5053002,-74.0859124279,40.5835645654
1443423,-73.9849420352,40.7445485536
1453266,-73.9867252154,40.7398887953
1433101,-73.9802910362,40.7614225215
3403013,-73.9391376543,40.6798831969
4103010,-73.7968095994,40.5906155895
1323036,-74.0033132961,40.7222187119
1463023,-74.0080644666,40.7400783377
1143015,-73.9979515764,40.7329925654
1503026,-73.9468651269,40.8075181986
1403035,-73.9908951507,40.7601671521
2163003,-73.8434383353,40.8400932798
1433022,-73.9801373917,40.7565521257
1433061,-73.9790530346,40.7609013963
1433079,-73.9757629161,40.7611598191
1433090,-73.976331059,40.7630276563
1433115,-73.981558743,40.7645242141
1433125,-73.9836960689,40.7595870446
1433173,-73.9745317075,40.7550018727
1433216,-73.9721154126,40.7580811453
3243004,-73.9679590753,40.6798589613
1453341,-74.0004743064,40.7423686878
1433843,-73.9725361446,40.7517096818
1433880,-73.966144746,40.7588388628
3403018,-73.9421092621,40.6800434371
1443777,-73.9996577187,40.7457056141
1433042,-73.9813988365,40.7554480197
3013577,-73.9921186339,40.6900550623
3131536,-73.9832685921,40.6118522672
3091472,-74.027543202,40.6204286141
3013575,-73.9915258585,40.6912842423
3013567,-73.99487114,40.6949064504
4013053,-73.9191642193,40.7429822228
4033054,-73.7958987078,40.7034574374
3043040,-73.9578669538,40.6432969564
3043117,-73.9594522009,40.6540692315
3043184,-73.9471459644,40.6286403448
3473007,-73.95434329,40.7312467942
5013014,-74.1318794786,40.6398221422
3163110,-73.9498822265,40.6529612813
1243044,-74.0008747574,40.7187928429
1323057,-74.0073539186,40.7276977292
1433166,-73.9725237868,40.7540556374
1463004,-74.0073745414,40.741701141
3071357,-73.9898759137,40.5994383801
1443038,-73.9892323444,40.7536430538
1443093,-73.9944742963,40.755156777
1443005,-73.9919998476,40.756429395
1443114,-73.9879281546,40.7524007005
1443167,-73.9760779432,40.7457967362
1443225,-73.9888670597,40.7494368782
1443278,-73.9924096237,40.7538355559
1443406,-73.9860056423,40.7457000071
2313029,-73.8318508428,40.8462731046
1443426,-73.9857263784,40.7448826965
1443293,-73.9873034548,40.7532789775
1443373,-73.9848000326,40.7460004001
1443573,-73.9916456512,40.7432301718
1443800,-73.9898925502,40.7449153449
